object_1,object_2,similarity,connection
образ филиппа киркорова в шубе,эпатажный образ филиппа киркорова,0.87559605,
дорога ростов-семикаракорск-волгодонск,задержка поезда москва-адлер,0.87558657,
эффективность пво против дронов,беспилотники и пво,0.875559,
база бородкиной,кража сочинца,0.8755451,
меры безопасности,безопасность района,0.8755311,
ситуация в магазине ростова,наличие холодца в магазине,0.87550294,
кутья,кутья и её состав,0.8754785,
инцидент на улице ростова,авария на невском проспекте,0.8754442,
ситуация на остановке,остановка,0.87543976,
оказание услуги за деньги,оплата услуг,0.8754256,
кормление птиц зимой,кормление птиц блинами,0.87542355,
расписание общественного транспорта на рождество,продление работы общественного транспорта на рождество,0.8753983,
качество исполнения,качество продукции,0.87538683,
увеличение штрафов за детские кресла,штрафы за отсутствие детских кресел,0.87538266,
матвей,кальян,0.8753769,
запрет горок,сбитые бпла,0.8753296,
зацеперы,ад,0.87531304,
архитектура доходного дома,архитектура дома,0.8753113,
кинопремьеры 2026 года,концерт группы «индиид»,0.8753029,
маршрут до геленджика,состояние дороги на ул. заводской,0.87529767,
водители в дтп,водители и автомобили,0.87526935,
здоровье автора,здоровье автора поста,0.8752574,
участие в концерте любэ,"сериал «клуб», вася",0.875257,
ситуация в магазине ростова,магазины,0.87523603,
общее состояние страны и региона,обстановка в регионе,0.87523425,
агрессивное поведение граждан,агрессивное поведение в обществе,0.8752222,
рождественская ярмарка,рождество в краснодаре,0.8751478,
рождество в храмах,рождественские богослужения в каменске,0.87513614,
дорожное покрытие - опасный фактор,дорожная обстановка,0.8751339,
способ уборки мусора,проблема вывоза мусора,0.8751189,
лист жести на дереве,дерево на проводах,0.87511766,
продажа шаурмы через мах,место продажи шаурмы,0.8751078,
городской бор - дорога,дорожное движение,0.8750994,
автодорога,автовокзал,0.8750922,
информация о мерах безопасности,обеспечение безопасности,0.8750699,
цены на билеты,цены на билеты в каро8/галерея,0.87506926,
действия сша по запуску дронов,сбитые беспилотники над башкирией,0.87506473,
новые штрафы за тонировку,введение единых штрафов,0.8750361,
новые правила развода,процесс развода при изменах,0.8750302,
дорожное покрытие - опасный фактор,дорожная ситуация,0.8750088,
цена проезда,цены на билеты,0.8749776,
угроза бпла,лист жести как угроза безопасности,0.87497526,
зацеперы,шаурмятни,0.8749428,
преображение городских пространств,состояние города,0.8749292,
набор персонала в магазин,действия сотрудников магазинов,0.87492573,
выбор фильмов из подборки,подборка фильмов,0.87491536,
новое правило о штрафах за тонировку,размер штрафа за нарушение тонировки,0.8749131,
беспилотники,эффективность пво против дронов,0.87490684,
использование реагентов в ледовом городке,ледовый городок,0.8749001,
городской порядок,общественный порядок,0.8748821,
действия силовиков при проверке ресторана,полицейская проверка гостей ресторана,0.87487686,
состояние города,закаты в городе,0.8748608,
мусор на контейнерной площадке,ситуация с вывозом мусора,0.87485427,
водители и автомобили,поведение водителей за рулем,0.8748485,
вредная еда,вред фастфуда для организма,0.8748428,
рождественский сочельник,поздравление с рождеством,0.87481797,
участие в концерте киркорова,"сериал «клуб», вася",0.87481034,
религиозное мероприятие (рождество в храме),рождественские богослужения,0.8747854,
безопасность прогулок в екб,безопасность общественных мест,0.87478065,
проблема с вывозом мусора,работа компании по вывозу мусора,0.87478054,
дорожное движение,пробка,0.87475723,
песня/стихотворение о бродяге,магазины-пятёрочка,0.87471116,
поведение мусоров,ситуация с уборкой мусора,0.87467396,
деятельность зацеперов по сбору мусора,контроль вывоза мусора,0.8746214,
уборка мусора в екатеринбурге,ситуация с уборкой мусора,0.8745648,
жёсткое дтп,пво,0.87455684,
качество ингредиентов для шавермы,качество шаурмы и аналогичных блюд,0.8745475,
дтп на трассе,автовокзал,0.8745366,
задержка поезда москва-адлер,характеристика глав субъектов рф,0.8745269,
частота уборки мусора,ухудшение качества уборки мусора,0.8745252,
работа администрации города,внимание властей к городу,0.87450033,
проблема с вывозом мусора,вывоз мусора в городе,0.8744924,
повышение цен на продукты и коммунальные услуги,повышение цен на продукты питания,0.8744769,
зацеперы - подбор мусора вне кабины,работа по вывозу мусора,0.8744541,
ситуация в магазине ростова,событие в магазине,0.87444997,
состояние тротуаров на улице автолюбителей,дорожная ситуация,0.87444794,
предложение подработки,предложение проекта,0.87444085,
подача питьевой воды,проблемы с водоснабжением,0.8744395,
введение единых штрафов,введение новых штрафов за тонировку,0.8744384,
объявление о ракетной опасности,план действий при ракетной опасности,0.8744317,
пожар в соседнем доме,пожар в квартире - местоположение,0.8744252,
закон о штрафах за тонировку,размер штрафа за нарушение тонировки,0.87440974,
место проведения мероприятия,выбор места проведения,0.8744044,
отключение электричества в жк вест-сайд,отключение света в жк вест-сайд,0.87439203,
работа сотрудников ломбарда,работа сотрудников,0.8743694,
поведение пользователей,отношение жкх к пользователям,0.87434244,
зацеперы,жестяной лист,0.8743229,
работа пожарных,пожарные гидранты,0.87426776,
беспилотники,беспилотная атака,0.8742598,
состояние канализации и бездействие властей,действия по устранению проблемы с канализацией,0.87425905,
состояние дорог в таганроге,состояние дорог в сипайлово,0.87425536,
поведение автора комментария,поведение автора комментария - способность решать проблему самостоятельно,0.8742312,
повышение цен на проезд,повышение цен на проезд в автобусе,0.8742236,
барахолки в парке горького,парк,0.8741957,
состояние дорог и тротуаров,дорожная ситуация,0.8741502,
участие в обсуждении,поведение участников дискуссии,0.87414587,
проблема вывоза мусора,уборка мусора,0.87414485,
уборка мусора в районе,накопление мусора,0.874135,
беспилотная атака,съемка фото/видео при беспилотной атаке,0.8741325,
продуктовая корзина состав,продуктовый кб,0.87410957,
дорожная обстановка на базовом переулке,состояние областных дорог,0.87405086,
фиксация беспилотных летательных аппаратов,работа пво по сбитым беспилотникам,0.8740442,
взрывы,взрывы в стерлитамаке,0.8740338,
состояние шумозащитных конструкций,метод крепления шумозащитных конструкций,0.87403077,
выбор песен деда мороза,мероприятие с дедом морозом и выбор песни,0.87401265,
качество российских фильмов,отечественное кино,0.87400115,
запуск беспилотников,дроновое нападение,0.8739676,
альбом бритни спирс,дтп на трассе семикаракорск-волгодонск,0.8739317,
поиск помощи/работы,привлечение помощи/работы,0.873855,
поведение людей,поведение всу,0.87385064,
автомобиль нива (полный привод),дтп с автомобилем нива,0.8738495,
процесс взятия пробы асфальта,качество укладки асфальта,0.87384754,
дорога ростов-семикаракорск-волгодонск,спектакли московского театра,0.8738041,
поведение водителей,поведение водителя «ниссана»,0.8738004,
отключение воды в ростове,подача питьевой воды,0.87374943,
жилищные и социальные условия,жилищные проблемы граждан,0.87374365,
новое правило медиации при разводе,новые правила развода,0.87372947,
празднование рождества христова,празднование рождества в ростове,0.8737259,
отключение электричества,отключение электроэнергии в апшеронском районе,0.8736985,
действия властей/подрядчиков,действия властей/производителей,0.8736888,
вывоз мусора,ситуация с вывозом мусора в красной поляне,0.87368625,
питание пассажиров при задержке,задержка поездов и питание пассажиров,0.8736403,
дорога ростов-семикаракорск-волгодонск,маршрут до геленджика,0.8736317,
поведение водителя во время дтп,поведение владельцев автомобилей,0.87360907,
выступление филиппа киркорова,деятельность филиппа киркорова,0.8736075,
переезд в челябинск,кассовые сборы фильма «чебурашка 2»,0.87358546,
рост цен на продукты,рост цен,0.87358165,
рождественская служба,празднование рождества в ростове,0.87357247,
обман с дедом морозом,выступление деда мороза,0.87347686,
участие в концерте любэ,состояние трассы ростов-семикаракорск,0.87347513,
лучшие времена рф,эксплуатация аттракционов,0.8734673,
беспилотные аппараты (бпла),действия в рб связанные с беспилотниками,0.87346584,
отключение электричества в общагах юфу,отключение электричества в общагах,0.87345177,
организация сбора мусора,фирма по вывозу мусора,0.87343466,
угроза беспилотной опасности,уничтожение беспилотников пво,0.87342435,
состояние дорог,дорожная обстановка в челябинской области,0.87341744,
легковые автомобили на картинке,дтп с автомобилем нива,0.87340784,
рождество в храмах,канун рождества христова,0.87340087,
полет беспилотников,беспилотные аппараты (бпла),0.8733897,
обрушение крыши,жилищная проблема после обрушения крыши,0.8733787,
состояние дорог в челябинской области,состояние дорог и тротуаров,0.87335765,
частые перебои с электричеством,перебои с электричеством в апшеронском районе,0.87335217,
сбитие беспилотников,эффективность уничтожения дронов,0.8733481,
поведение автора поста,поведение автора комментария,0.8733399,
решение проблемы вывоза мусора,вывоз мусора в городе,0.873338,
налоги для бизнеса,налоги малого бизнеса,0.8733376,
дорожная обстановка на базовом переулке,состояние тротуаров на автолюбителей,0.8733277,
электроснабжение жк вест-сайд,переезд в челябинск,0.87330765,
ковалевка,пво,0.873276,
мероприятие у церкви,отпевание в церкви,0.8732725,
рынок недвижимости - искусственные цены,цена вторичной недвижимости,0.8732693,
кража ёлки,ситуация с листом жести,0.8732325,
информация о беспилотниках,действия при обнаружении дрона,0.87313366,
детские смеси nestlé,производство детских смесей,0.87307155,
американский беспилотник,действия сша по запуску дронов,0.8730448,
безопасность трассы ростов-семикаракорск-волгодонск,безопасность района красноармейская,0.87299854,
ёлки в области,лист жести на дереве,0.87299675,
ремонт дороги,строительство дорог и развязок,0.87295175,
организация сбора мусора,накопление мусора,0.8729476,
участие в концерте киркорова,пересъемка старых фильмов/сказок,0.8729408,
существование деда мороза,дед мороз,0.8729335,
кинопремьера одесия,электроснабжение жк вест-сайд,0.8729056,
действия властей,меры правительства,0.8728949,
работа по вывозу мусора,работа по вывозу мусора в праздничные дни,0.87289447,
фирма по вывозу мусора,вывоз мусора в городе,0.87289226,
ремонт дороги,качество ремонта дороги,0.87287074,
объявление опасности мчс,объявление опасности через приложение мчс,0.8728673,
отечественное кино,характеристика глав субъектов рф,0.8728169,
получение информации о беспилотниках,источник беспилотников,0.87281495,
состояние областных дорог,состояние дорог в сипайлово,0.8727737,
перебои с электричеством,частота отключений электричества,0.8726792,
факт повреждения машины,результат аварии,0.87266326,
работа пво по сбитым беспилотникам,уничтожение беспилотников пво,0.8726464,
жк июнь,квартира на июне,0.87263304,
реклама в канале,рекламный призыв,0.87259865,
перебои с электричеством,отключение электроэнергии в зазулине,0.87259346,
реагенты на тротуарах,состояние дорог и тротуаров,0.8725888,
мероприятие деда мороза,образ деда мороза и репертуар,0.872587,
военные действия в рф,характеристика глав субъектов рф,0.87258583,
жёсткое дтп,жестяной лист,0.87257123,
состояние дороги ростов-волгодонск,трагедия на трассе ростов-волгодонск,0.8725599,
действия нападавшего,действия злоумышленника,0.87254304,
дтп на тюбинге,плотинка,0.87254024,
средства самозащиты,эффективность средств самообороны,0.8724768,
поведение водителя «ниссана»,водитель машины,0.87247425,
состояние дорог в челябинске,состояние улицы чайковского,0.87246364,
филипп киркоров,ковалевка,0.8724474,
общее содержание видео,действия в видео,0.872429,
свадьба и количество гостей,организация свадебного банкета,0.8724232,
состояние льда,использование реагентов в ледовом городке,0.8723523,
фильмы юности,качество отечественного кино,0.8723415,
рождественская литургия,рождественские богослужения с огнями и гимнами,0.8723415,
получение информации о беспилотниках,действия при обнаружении дрона,0.8723126,
рождаемость в башкортостане,рождение детей в башкирии,0.8723126,
оплата жкх,оплата жкх (учет праздничных дней),0.87225366,
дрон сбитый,взрывы беспилотников,0.8722405,
"титул ""поп-король"" филиппа бедросовича",жк вест-сайд,0.87223923,
повышение цен в магазинах,частое повышение цен на товары,0.8722169,
написание слова 'кутёй',"термин ""кишлак""",0.87221396,
деятельность зацеперов по сбору мусора,частота уборки мусора,0.8722073,
зацеперы сбор мусора,проблема вывоза мусора,0.8722056,
состояние льда на катке,использование реагентов на ледовом городке,0.8721881,
коррупция в правоохранительных органах,коррупция проверяющих,0.87218595,
работа чата,работа сотрудников,0.8721722,
снежная обстановка,уборка снега вокруг тц дуван,0.8721689,
концерт ленинграда,жк вест-сайд,0.872168,
карьера бритни спирс,дтп на трассе семикаракорск-волгодонск,0.87215394,
исполнение законов,закон и его эффективность,0.87215006,
кинопремьера одесия,кинопремьеры 2026 года,0.87214917,
обеспечение безопасности,обеспечение безопасности сотрудниками,0.87214303,
прогноз погоды,погода/условия в ростове,0.8721322,
зацеперы сбор мусора,распространение мусора,0.8721303,
парковка автомобилей в парке,общая ситуация с парковкой,0.87212855,
безопасность района,безопасность региона/уфа,0.87208587,
состояние мусорных контейнеров,метод утилизации мусора,0.87207735,
празднование рождества и нового года,рождество христово (праздник),0.8720741,
задержка поездов из-за повреждения железнодорожного полотна,задержка поезда москва-адлер,0.87207115,
обязательная процедура медиации при разводе,процесс развода при изменах,0.8720404,
метод сбора мусора,частота уборки мусора,0.87200737,
насилие против женщин,насилие против женщин в дагестане,0.8719752,
действия муниципалитета,работа мэрии,0.8719733,
состояние пострадавших,оценка тяжести травм пострадавших,0.8719683,
мероприятие филиппа киркорова,стиль филиппа киркорова,0.87196624,
ситуация с вывозом мусора,вывоз мусора на первомайской,0.8719045,
ремонт futuro,прошлое состояние futuro,0.8718953,
москва - лицо страны,история новороссийска,0.87187773,
опасная горка,опасная ситуация с листом жести,0.87186843,
повышение цен в магазинах,повышение цен на товары,0.8718581,
позиция хабирова в рейтинге влияния,данные рейтинга влияния глав,0.87185395,
ситуация с вывозом мусора,система управления мусором,0.87183857,
горнолыжный курорт,горнолыжный курорт в башкирии,0.8718373,
безопасность города,безопасность района,0.87182677,
состояние дорог,дорожное покрытие - опасный фактор,0.8718252,
состояние дороги после уборки,чистка проездов,0.8718014,
рождественская литургия,крестный ход в рождество,0.8717816,
условия на дорогах,качество дорог,0.8717571,
работа администрации,поведение администрации,0.871753,
альбом бритни спирс,анекдот времён ссср,0.87171674,
штраф за нарушение тонировки,новый закон о штрафах за тонировку,0.8716767,
предложение работы,предложение разовой работы,0.871672,
ситуация с вывозом мусора,уборка мусора,0.8716452,
состояние областных дорог,состояние дорог в челябинской области,0.8716247,
фирма по вывозу мусора,вывоз мусора на первомайской,0.8716185,
ёлка/праздничные традиции,празднование рождества,0.871602,
рост цен на продукты,частое повышение цен на товары,0.87158716,
распространение мусора,уборка мусора,0.8715795,
религиозное мероприятие (рождество в храме),празднование рождества христова,0.8715259,
песня/стихотворение о бродяге,водитель-певец,0.8714348,
отключение электричества в жк вест-сайд,отключение электричества в районе,0.8714133,
поезд до режета,состояние железной дороги,0.87139237,
строительство развязки,строительство на участке,0.871371,
поведение автора проигранный,поведение автора и зацеперов,0.87136936,
условия в поездах,состояние железной дороги,0.87135863,
сумма подарка на свадьбу,расходы на свадьбу,0.8713386,
инцидент на горке,результат аварии,0.87131417,
москва как место проживания,жизнь в россии,0.8713138,
удары украинскими беспилотниками,использование украинских беспилотников,0.87131023,
ёлка в миассе,деревья в уфимском дворе (неухоженные),0.87128294,
канун рождества христова,празднование рождества христова под другим именем,0.871276,
задержка поезда москва-адлер,состояние дороги ростов-волгодонск,0.8712746,
американский беспилотник,действия при обнаружении дрона,0.8712702,
повышение цен на продукты,причины повышения цен,0.8712355,
казахстан на первом кадре,ктк в казахстане,0.87120855,
зацеперы сбор мусора,ситуация с вывозом мусора,0.8712048,
защита от беспилотной атаки,методы противодействия дронам,0.8711958,
опасность из-за атаки беспилотников,уничтожение беспилотников пво,0.87113976,
получение информации о беспилотниках,информация о беспилотной атаке,0.8710971,
эмигрантство,эмигранты как потеря для отчизны,0.8710908,
дорожная обстановка,опасность трассы,0.87106675,
дорожная обстановка,наезд на автомобиль и уезд с места дтп,0.87106186,
состояние нагорной улицы,состояние тротуаров на улице автолюбителей,0.8710572,
место события в краснодаре,происшествие в краснодаре,0.8710513,
дрон сбитый,способ уничтожения беспилотников,0.87104076,
реагенты на тротуарах,дорожная обстановка,0.8710386,
кинопремьера одесия,дорога ростов-семикаракорск-волгодонск,0.8710339,
политика башкирии под хабировым,состояние власти в башкирии,0.8710338,
идея фильма,содержание фильма,0.8710252,
празднование рождества и нового года,рождественские богослужения,0.8709869,
жк вест-сайд,перевод говнотечки,0.870969,
поведение сотрудников гаи,поведение сотрудников ук,0.8709288,
повышение цен на продукты,повышение цен/ндс,0.8709278,
ракетная опасность и вероятность угрозы,скрытая информация о ракетной опасности,0.87089455,
поведение женщины в пвз,поведение женщины-оскорбительницы,0.8708935,
зацеперы сбор мусора,вывоз мусора в городе,0.8708697,
действия при обнаружении дрона,полет беспилотников,0.8708599,
факт повреждения машины,запищавшие машины,0.87085164,
действия электриков,автоэлектрик,0.8708347,
строительство шумозащитных конструкций,шумозащитные конструкции некачественные,0.87083405,
запуск беспилотников,получение информации о беспилотниках,0.8707858,
дед мороз как переодетые взрослые,действия деда мороза,0.87078005,
дорога на суворовский,дтп на трассе ростов – семикаракорск – волгодонск,0.8707731,
работа администрации города как временщиков,действия администрации города,0.8707683,
барахолка в ростове,барахолки в парке горького,0.8707633,
инцидент на горке,новость об аварии на тюбинге,0.8707612,
предложение помощи/работы после праздников,предложение помощи после праздников,0.8707564,
метод сбора мусора,проблема с вывозом мусора,0.8707477,
участие в концерте киркорова,состояние дороги на ул. заводской,0.8707427,
отношение к пассажирам при задержках,задержка поезда и условия для пассажиров,0.8707034,
состояние мусорных контейнеров,вывоз мусора в гэсе,0.87068284,
состояние тротуаров на улице автолюбителей,состояние парковки и дороги,0.870639,
дорожная инфраструктура,транспортная инфраструктура краснодара,0.8706342,
зацеперы - подбор мусора вне кабины,уборка мусора в районе,0.87061435,
поведение нападавшего,характеристика повода нападения,0.87060714,
сбитые беспилотники над башкирией,уничтожение беспилотников пво,0.87058663,
проблема с вывозом мусора,вывоз мусора на первомайской,0.8705677,
качество услуг жкх,качество обслуживания билайн,0.87055624,
религиозная активность,религиозная практика в церкви,0.8705386,
поведение водителя во время дтп,водители в дтп,0.87053066,
действия деда мороза,мероприятие с дедом морозом,0.8705056,
угроза беспилотной опасности,взрывы беспилотников,0.8704967,
меры безопасности в дтп,информация мчс о мерах безопасности,0.87048995,
жк вест-сайд,концерт группы «индиид»,0.87047696,
расположение города относительно зайцев,закаты в городе,0.87047106,
детское питание,малоежка - недоедание ребенка,0.8704617,
беспилотный летательный аппарат (бпла) и его уничтожение,беспилотники и пво,0.87045366,
рост цен на технику,рост цен,0.8704269,
расписание транспорта на рождество,меры по организации транспорта на рождество,0.87040913,
жк вест-сайд,отечественное кино,0.8704031,
сбитые беспилотники над башкирией,действия в рб связанные с беспилотниками,0.87040234,
цена пирожков,цены на продукты,0.87039936,
избиение женщин,факт избиения девушки,0.8703871,
состояние льда на катке,небезопасность ледового городка,0.87037826,
американский беспилотник,сбитие беспилотников,0.8703437,
поведение автора,поведение автора (стиль одежды),0.8703375,
путешествие за границу,поездка в экзотические страны,0.870332,
источник информации об опасности,информация об угрозе,0.8703284,
применение законов о тонировке,новые правила тонировки,0.8703249,
джефф миллз,дороги осипенко/репин,0.87031734,
высокие затраты на свадьбу,информация о стоимости свадьбы,0.87030053,
поведение водителя (акцента),поведение водителя «ниссана»,0.87029445,
ухудшение качества уборки мусора,накопление мусора,0.87029445,
борьба с коррупцией на дону,коррупция и растраты бюджетных средств,0.8702512,
проблемы с электричеством в жк вест-сайд,перебои с электричеством в апшеронском районе,0.8702314,
обеспечение безопасности,безопасность района,0.870228,
новые шумозащитные конструкции,шумозащитные конструкции некачественные,0.8701964,
кража сочинца,сбитые бпла,0.87018573,
звук беспилотников,беспилотники и пво,0.8701747,
качество дорог в челябинской области,состояние дорог в сипайлово,0.87015027,
отключение электричества в общагах,отсутствие электричества,0.8701453,
концерт филиппа киркорова,кинопремьеры 2026 года,0.87013763,
дорожная безопасность,опасность трассы,0.87013686,
концерт поп-короля,анекдот времён ссср,0.8701321,
дорожное движение,тротуары на улице автолюбителей,0.8701285,
отношение к украинцам,действия украины,0.8701217,
предложение временной подработки,временная подработка,0.87010485,
строительство тротуаров на автолюбителей,тротуары на улице автолюбителей,0.8701035,
принадлежность москвы,история новороссийска,0.8700861,
обсуждение красивых дат для свадьбы,свадьба как мероприятие,0.87007457,
запуск беспилотников,сбитие беспилотников,0.8700646,
запрет на пиротехнику,запрет на тонировку,0.8700397,
действия властей/коррупция,коррупция в судебной системе,0.8700386,
кассовые сборы фильма «чебурашка 2»,характеристика глав субъектов рф,0.8700311,
беспилотная опасность - взрывы,беспилотная атака,0.8700154,
проблема с вывозом мусора,ситуация с вывозом мусора в красной поляне,0.87000406,
метод сбора мусора,распространение мусора,0.86999595,
мусор на контейнерной площадке,проблема вывоза мусора,0.8699952,
очистка парковочных карманов,чистка карманов на дорогах,0.8699824,
внешность екатеринбуржек,кража сочинца,0.86996806,
концерт поп-короля,дтп на трассе семикаракорск-волгодонск,0.86994624,
военная операция,военная ситуация,0.8699362,
проблема вывоза мусора,система управления мусором,0.8699221,
реакция полиции,реакция власти на преступление,0.869898,
поведение трампа,трамвай облик,0.869895,
альбом бритни спирс,площадь советов (ростов-на-дону),0.8698838,
работа пво по сбитым беспилотникам,сбитые беспилотники над башкирией,0.86987245,
состояние областных дорог,качество дорог в челябинской области,0.86986876,
общественный транспорт,расширение работы общественного транспорта,0.86985826,
жёсткое дтп,плотинка,0.8698533,
запуск беспилотников,способ уничтожения беспилотников,0.869851,
смазка для колбасы,продуктовая корзина состав,0.8698391,
пожар в многоэтажке,пожары в высотках,0.8698268,
состояние автомобиля,тонировка автомобиля,0.86982214,
испеченный пирог,желание испечь пирог,0.8698194,
работа энергетической службы,работа энергетиков и других специалистов,0.8698093,
электроснабжение жк вест-сайд,лучшие времена рф,0.8697901,
водители в дтп,поведение водителей в дтп,0.8697881,
конфеты,сладкие десерты,0.869781,
качество исполнения,качество работы,0.8697728,
выступление филиппа киркорова,стиль филиппа киркорова,0.86977077,
угроза беспилотной опасности,беспилотники и пво,0.8697591,
задержка поездов,задержка поездов в воронежской области,0.8697496,
беспилотная опасность,распространение информации об угрозе беспилотников,0.86974657,
концерт поп-короля,выступление артиста и его подтанцовка,0.8697338,
беспилотники,угроза беспилотной опасности,0.8697303,
состояние мусорных контейнеров,решение проблемы вывоза мусора,0.86972445,
участие в концерте киркорова,дороги осипенко/репин,0.8697098,
беспилотная опасность - взрывы,способ уничтожения беспилотников,0.86970437,
участие в концерте любэ,лучшие времена рф,0.869701,
ремонт школы,национальный проект ремонта школ,0.86969835,
колядование с кутьей,пропажа милены яковлевой,0.86967087,
военные действия в рф,действия пво в рф,0.86964804,
задержание мужчины,задержание мужчины по статье хулиганства,0.8696234,
работа администрации,действия администрации,0.8695948,
ситуация в нагорной,ситуация на окраине,0.86958796,
зацеперы сбор мусора,система управления мусором,0.8695677,
применение штрафов к водителям,нарушение правил водителями,0.86955017,
решение проблемы вывоза мусора,вывоз мусора / подрядчик,0.8695465,
состояние проездов в карманах,чистка проездов в карманах,0.8695313,
безопасность горки,безопасность в зоне тюбинга,0.869516,
угроза беспилотной опасности,дроновое нападение,0.8695055,
поведение детей,поведение детей (поджог кустов),0.8695053,
беспилотники,дроновое нападение,0.86950314,
ситуация на украине,украина и её успех,0.86943173,
использование ремней и кресел в дтп,использование ремней безопасности,0.8694176,
новогодние праздники,рождественские мероприятия,0.86941606,
деятельность зацеперов по сбору мусора,проблема с вывозом мусора,0.8693911,
воспитание детей,воспитание детей ненадлежащим образом,0.8693799,
эффективность уничтожения дронов,перехват беспилотников,0.86937815,
поведение девушки,поведение дочери,0.86936986,
маршруты автобусов,наличие автобуса,0.8693694,
состояние льда,небезопасность ледового городка,0.86931133,
жёсткое дтп,дтп в краснодаре,0.8692953,
поведение водителей,поведение водителя такси,0.86928636,
дорогая организация свадьбы,стоимость свадьбы в будущем,0.86928034,
джефф миллз,рекорд кассовых сборов фильма «чебурашка 2»,0.869279,
"титул ""поп-король"" филиппа бедросовича",задержка поезда москва-адлер,0.8692521,
ремонт водных объектов,восстановление остановки на гидрострое,0.86924136,
проблемы города,городская среда,0.8692265,
рождество в храме и у родственников,рождественские богослужения,0.8692079,
праздничные мероприятия,атмосфера праздника,0.8691757,
пристройка к дому,жильцы дома,0.8691635,
казахстан на первом кадре,действия властей казахстана,0.86914855,
перебои с электричеством,электроснабжение,0.8691122,
барахолки в парке горького,двор в уфе,0.8690922,
состояние дороги ростов-волгодонск,закат в сочи,0.8690695,
способ уборки мусора,ситуация с вывозом мусора,0.86905193,
повышение цен/эксплуатация,рост цен на технику,0.86904156,
поведение агрессора,поведение нападавшего,0.8690406,
поведение филиппа киркорова на концерте,филипп киркоров на концерте,0.8690373,
чистка снега в екатеринбурге,работа коммунальных служб по уборке снега,0.869015,
участие филиппа киркорова в концерте,термин водительница в пдд,0.86900836,
увеличение штрафов за тонировку,штраф за нарушение тонировки,0.8690001,
поиск информации,запрос информации,0.86899817,
новогодние праздники,празднование рождества в ростове,0.8689753,
коммунальные услуги в белореченске,работа пвз и инфраструктура в белореченске,0.8689709,
организация вывоза мусора,уборка мусора,0.86896086,
религиозная активность,участие в богослужении,0.8689357,
информация о беспилотниках,информация о беспилотной атаке,0.8689266,
рождественские богослужения в каменске,рождественские богослужения,0.86891913,
первая часть фильма чебурашка,перевод говнотечки,0.86888546,
шаурмятни,кража сочинца,0.86887455,
поведение мужчин-агрессоров,агрессия мужчин к женщинам,0.86886257,
эксплуатация аттракционов,состояние дороги на ул. заводской,0.868853,
отношение к пассажирам при задержках,питание пассажиров при задержке,0.86883855,
электроснабжение жк вест-сайд,эксплуатация аттракционов,0.86883163,
вывоз мусора в гэсе,решение проблемы мусора,0.8688196,
сумма подарка на свадьбу,стоимость свадьбы,0.86880636,
дтп на тюбинге,дтп,0.86880064,
сбитие беспилотников,источник беспилотников,0.8687978,
тротуары на улице автолюбителей,состояние дорог и тротуаров,0.8687349,
фото для иллюстрации,фото в личку,0.8687091,
повышение рождаемости,рождаемость детей,0.8687018,
празднование рождества и нового года,рождество христово,0.86869735,
вывоз мусора на первомайской,вывоз мусора / подрядчик,0.86869633,
нападение на девушек,насилие против девушки,0.8686751,
поведение филиппа киркорова на концерте,посещение концерта филиппа киркорова,0.868616,
дорожная обстановка,тротуары на улице автолюбителей,0.8686133,
район лысая гора,отдых на плато лаго-наки,0.86859787,
мероприятие с дедом морозом и выбор песни,мероприятие с дедом морозом,0.86856955,
выступление деда мороза с песней,мероприятие деда мороза,0.8685507,
новое правило о штрафах за тонировку,выдача штрафа,0.86854327,
зацеперы сбор мусора,вывоз мусора на первомайской,0.86851245,
работа сотрудников,работа пво,0.8685069,
преступная группа сельмаш,состояние дороги на ул. заводской,0.8684974,
подготовка к празднику,подготовка к новогодним праздникам,0.8684919,
филипп киркоров,кальян,0.8684863,
использование украинских беспилотников,атака украинских беспилотников,0.8684762,
наличие кроликов во дворе,домашние кролики,0.868467,
грамотность населения,грамотность в публикациях,0.8684646,
дороги осипенко/репин,премьеры в кино,0.86846316,
проблема с мусором в краснодарском крае,управление мусором в сочи,0.8684417,
мероприятие филиппа киркорова,фильм хроники нарнии,0.8684337,
горящая квартира и собственность,горящая квартира,0.8684245,
перебои с электричеством в центре,отключение электроэнергии в апшеронском районе,0.8684041,
участие филиппа киркорова в концерте,площадь советов (ростов-на-дону),0.86838365,
рекламная стратегия,наличие рекламы,0.86837345,
реакция полиции,действия полиции (проведение проверки),0.86834574,
инцидент на красноармейской улице,инцидент на красноармейской,0.8683294,
участие в церковных мероприятиях,религиозная активность,0.86832815,
участие филиппа киркорова в концерте,переезд в челябинск,0.8683005,
запрет горок,сирены,0.86824703,
происшествие с машиной,результат аварии,0.868227,
блюдо,заказ шаурмы через мах,0.868178,
дорожно-транспортная ситуация,пробка,0.8681748,
дтп под джубгой,перевод говнотечки,0.8681737,
застройка в краснодаре,происшествие в краснодаре,0.86816466,
новые правила по тонировке,требования к тонировке,0.86816335,
рекорд кассовых сборов фильма «чебурашка 2»,спектакли московского театра,0.8681427,
отсутствие электричества,наличие электричества,0.86811936,
деятельность зацеперов по сбору мусора,вывоз мусора на первомайской,0.86810994,
введение штрафов за тонировку,выдача штрафа,0.86808884,
организация праздника,действия администрации по организации праздников,0.868088,
рождество христово,празднование рождества христова под другим именем,0.86808515,
использование ремней безопасности в дтп,использование ремней и кресел в дтп,0.8680653,
