object_1,object_2,similarity,connection
кассовые сборы фильма «Чебурашка 2»,первая часть фильма Чебурашка,0.95289934,not_duplicate
действия инспекторов ГИБДД,падение обломков БПЛ,0.95288205,not_duplicate
первая часть фильма Чебурашка,характеристика глав субъектов РФ,0.9527357,not_duplicate
концерт Филиппа Киркорова,строительство ЖК Вест-Сайд,0.95268786,not_duplicate
дорожно-транспортное происшествие,смертельное ДТП на дороге,0.95263785,not_duplicate
контент без искусственного интеллекта,контент без ИИ,0.95263624,duplicate
угроза беспилотной опасности,объявление беспилотной опасности,0.9526197,similar_not_duplicate
концерт Филиппа Киркорова,падение обломков БПЛ,0.9525833,not_duplicate
дроновое нападение,беспилотная атака,0.95256984,duplicate
электроснабжение ЖК Вест-Сайд,фильм Волшебник Изумрудного города,0.95242536,not_duplicate
Отсутствие электричества у Зазулина,отключение электроэнергии в Зазулине,0.9524114,duplicate
состояние дороги Ростов-Волгодонск,состояние трассы Ростов-Волгодонск,0.9523015,duplicate
электроснабжение ЖК Вест-Сайд,пересъемка старых фильмов/сказок,0.95229256,not_duplicate
способ уничтожения беспилотников,уничтожение беспилотников ПВО,0.9522614,not_duplicate
состояние трассы Ростов-Волгодонск,управление Нового Краснодара,0.9522456,not_duplicate
взрывы над Стерлитамаком,взрывы в Стерлитамаке,0.952207,duplicate
фильм Волшебник Изумрудного города,пересъемка старых фильмов/сказок,0.95211196,not_duplicate
качество воды,поведение УК и качество воды,0.95204043,not_duplicate
гибель ребенка и женщины в ДТП,страшное ДТП с ребенком и женщиной,0.95202434,duplicate
работа в GSB,работа в GSB на Хвойной,0.9519472,not_duplicate
концерт Филиппа Киркорова,состояние трассы Ростов-Волгодонск,0.9519425,not_duplicate
беспилотники,фиксация беспилотных летательных аппаратов,0.9518495,similar_not_duplicate
парковка автомобилей во дворах,парковка машин на газоне,0.95181835,not_duplicate
строительство ЖК Вест-Сайд,падение обломков БПЛ,0.95180714,not_duplicate
фильм Рождество на двоих,мероприятие Деда Мороза,0.95179546,not_duplicate
качество отечественного кино,качество фильма/сериала,0.95166737,not_duplicate
ДТП с жертвами детей,ДТП с погибшими детьми и взрослыми,0.9516363,not_duplicate
поведение родителей,поведение родителей ребенка,0.9516043,not_duplicate
состояние дороги от Магнитогорска до Челябинска,состояние дорог в Челябинской области,0.9515764,not_duplicate
кинопремьера Одесия,управление Нового Краснодара,0.95150065,not_duplicate
концерт Филиппа Киркорова,ЖК Вест-Сайд,0.9514951,not_duplicate
концерт Филиппа Киркорова,концерт SCORPIONS в Ростове,0.951486,not_duplicate
пение Деда Мороза,песня Деда Мороза,0.95143664,duplicate
"сериал «Клуб», Вася",первая часть фильма Чебурашка,0.9512767,not_duplicate
Жёсткое ДТП,смертельное ДТП,0.95127034,duplicate
участие в концерте,сцена на концерте,0.9512366,not_duplicate
Джефф Миллз,ЖК Вест-Сайд,0.95121604,not_duplicate
рождение детей,рождаемость детей,0.951208,duplicate
организация вывоза мусора,работа компании по вывозу мусора,0.9511517,not_duplicate
расходы на свадьбу,высокая стоимость свадьбы,0.9511379,duplicate
празднование Рождества,рождественские традиции/колядование,0.9511366,not_duplicate
сбитый беспилотник,перехват беспилотников,0.95095205,not_duplicate
реклама,рекламная кампания,0.95091116,similar_not_duplicate
концерт Ленинграда,электроснабжение ЖК Вест-Сайд,0.9508967,not_duplicate
рождественские традиции/колядование,Рождественский сочельник и его празднование,0.9507482,not_duplicate
первая часть фильма Чебурашка,спектакли Московского театра,0.9507465,not_duplicate
концерт Киркорова,характеристика глав субъектов РФ,0.95067245,not_duplicate
атака украинских беспилотников,перехват украинских беспилотников,0.9506688,not_duplicate
концерт Филиппа Киркорова,"сериал «Клуб», Вася",0.9506571,not_duplicate
работа общественного транспорта на Рождество,работа общественного транспорта в рождественскую ночь,0.9506415,not_duplicate
меры защиты побережья,эффективность защиты побережья,0.95061415,not_duplicate
реакция на аварию,реакция на происшествие,0.95056534,duplicate
концерт Филиппа Киркорова,сериал Полиция Дели,0.9505095,not_duplicate
концерт поп-короля,концерт Ленинграда,0.95049495,not_duplicate
страшное ДТП,смертельное ДТП на дороге,0.9504195,duplicate
кинопремьера Одесия,сериал Полиция Дели,0.95038736,not_duplicate
новая система медиации при разводе,новое правило медиации при разводе,0.95029235,duplicate
вывоз мусора,Ситуация с вывозом мусора,0.9502908,not_duplicate
действия инспекторов ГИБДД,первая часть фильма Чебурашка,0.9502826,not_duplicate
качество дорог,качество дорожных работ,0.9502401,not_duplicate
электроснабжение ЖК Вест-Сайд,управление Нового Краснодара,0.9502352,not_duplicate
закрытие ресторана Бен Холл,Джефф Миллз,0.9502088,not_duplicate
закрытие парка досрочно,закрытие территории парка,0.9501965,not_duplicate
отключение электричества в ЖК Вест-Сайд,электроснабжение ЖК Вест-Сайд,0.9501117,similar_not_duplicate
спасение домашних животных в Судже,спасение животных в Судже,0.9500041,similar_not_duplicate
концерт Киркорова,спектакли Московского театра,0.9499489,not_duplicate
сериал Полиция Дели,пересъемка старых фильмов/сказок,0.94991493,not_duplicate
количество камер,количество камер видеофиксации,0.9498082,not_duplicate
инцидент на Красноармейской,происшествие в Краснодаре,0.9497974,not_duplicate
использование ремней безопасности в ДТП,использование ремней и кресел в ДТП,0.9497862,not_duplicate
поведение администрации,действия администрации,0.9497676,duplicate
концерт поп-короля,сериал Полиция Дели,0.9497363,not_duplicate
ДТП и его последствия,тяжелые последствия аварии,0.94972456,duplicate
вывоз мусора,работа по вывозу мусора,0.9497152,duplicate
обязательная медиация перед разводом,медиация при разводе,0.9497079,not_duplicate
концерт Ленинграда,управление Нового Краснодара,0.9497029,not_duplicate
ударение в словах,местечковые слова,0.9496713,not_duplicate
ЖК Вест-Сайд,электричество в ЖК Вест-Сайд,0.94966435,similar_not_duplicate
повышение цен/эксплуатация,повышение цен/НДС,0.9496253,not_duplicate
Действия пожарных при тушении пожара,работа пожарных,0.949582,similar_not_duplicate
эвакуация при пожаре,эвакуация из многоэтажки при пожаре,0.94953245,not_duplicate
ДТП с погибшими детьми и взрослыми,гибель детей в ДТП,0.9495244,not_duplicate
Удары украинскими беспилотниками,перехват украинских беспилотников,0.9494535,not_duplicate
концерт SCORPIONS в Ростове,спектакли Московского театра,0.949418,not_duplicate
пересъемка старых фильмов/сказок,концерт группы «ИНДИИД»,0.9493486,not_duplicate
призыв к отправке эксклюза,призыв к отправке эксклюзива,0.9492457,duplicate
ценники на товары,цены на товары,0.94921106,duplicate
концерт поп-короля,пересъемка старых фильмов/сказок,0.9492084,not_duplicate
закрытие ресторана Бен Холл,падение обломков БПЛ,0.94920224,not_duplicate
вывоз мусора,проблема с вывозом мусора,0.94914687,not_duplicate
строительство ЖК Вест-Сайд,фильм Волшебник Изумрудного города,0.949088,not_duplicate
концерт поп-короля,первая часть фильма Чебурашка,0.94907874,not_duplicate
концерт Филиппа Киркорова,фильм Волшебник Изумрудного города,0.9489664,not_duplicate
состояние дорог в Челябинске,качество дорог в Челябинской области,0.9489521,not_duplicate
карьера Бритни Спирс,кинопремьера Одесия,0.9489068,not_duplicate
падение обломков БПЛ,характеристика глав субъектов РФ,0.94887114,not_duplicate
Дед Мороз,выступление Деда Мороза,0.948813,similar_not_duplicate
закрытие ресторана Бен Холл,кинопремьера Одесия,0.94879943,not_duplicate
фильм Волшебник Изумрудного города,концерт группы «ИНДИИД»,0.9487933,not_duplicate
закрытие ресторана Бен Холл,фильм Волшебник Изумрудного города,0.94878876,not_duplicate
строительство шумозащитных конструкций,шумозащитные конструкции,0.94875824,not_duplicate
сиквел Короля и Шута,первая часть фильма Чебурашка,0.9487547,not_duplicate
действия администрации города,действия муниципалитета,0.94872665,duplicate
концерт поп-короля,концерт группы «ИНДИИД»,0.94872266,not_duplicate
наличие электрического органа в отеле,электрический орган в отеле,0.94863445,duplicate
концерт Киркорова,концерт группы «ИНДИИД»,0.94863266,not_duplicate
Беспилотная опасность,объявление беспилотной опасности,0.94846386,similar_not_duplicate
помощь спасателей,работа спасателей,0.94841945,duplicate
поведение участников ДТП,поведение водителей после аварии,0.9483788,not_duplicate
действия силовиков при проверке ресторана,проверка ресторанов силовиками,0.9483726,duplicate
состояние Екатеринбурга,Екатеринбург,0.94836766,duplicate
поведение водителей в ДТП,поведение водителей после аварии,0.9483121,not_duplicate
Рождественский сочельник и его празднование,рождественские мероприятия,0.9482973,not_duplicate
свадьба как мероприятие,свадьбы как явление,0.9482528,duplicate
выступление Филиппа Киркорова,деятельность Филиппа Киркорова,0.9481796,similar_not_duplicate
концерт SCORPIONS в Ростове,состояние трассы Ростов-Волгодонск,0.94810593,not_duplicate
состояние трассы Ростов-Волгодонск,характеристика глав субъектов РФ,0.948078,not_duplicate
содержание поста,текст поста,0.94805735,duplicate
концерт Ленинграда,концерт SCORPIONS в Ростове,0.94796234,not_duplicate
поведение водителя во время ДТП,поведение участников ДТП,0.9479235,not_duplicate
Железнодорожное полотно повреждено,повреждение железной дороги,0.9479084,duplicate
сериал Полиция Дели,строительство ЖК Вест-Сайд,0.94790655,not_duplicate
участие в концерте Киркорова,Участие в концерте ЛЮБЭ,0.94787765,not_duplicate
закрытие ресторана Бен Холл,пересъемка старых фильмов/сказок,0.9478761,not_duplicate
состояние шумозащитных конструкций,ненадежность шумозащитных конструкций,0.9478616,not_duplicate
поведение водителя (Акцента),поведение водителей за рулем,0.9478376,not_duplicate
поведение автора комментария,действие автора комментария,0.9477727,duplicate
тонировка автомобиля,применение тонировки к автомобилям,0.94774425,duplicate
фильм Чебурашка 2,успех фильма Чебурашка 2,0.94770366,duplicate
рождаемость в Башкирии,рождение детей в Башкирии,0.9475174,duplicate
строительство ЖК Вест-Сайд,Проблемы ЖК Вест-Сайд,0.94749856,not_duplicate
предложение работы,предложение работы/подработки,0.94747233,duplicate
концерт Киркорова,состояние трассы Ростов-Волгодонск,0.9474423,not_duplicate
поведение гостей на мероприятии,поведение посетителей на вечеринке,0.94739574,not_duplicate
высокие затраты на свадьбу,стоимость свадьбы,0.9473859,duplicate
Действия Украины (нападение),действия Украины,0.9473632,similar_not_duplicate
концерт Филиппа Киркорова,закрытие ресторана Бен Холл,0.9472394,not_duplicate
первая часть фильма Чебурашка,участие водителя в конкурсе Голос Стерли,0.9471512,not_duplicate
обрушение крыши,состояние крыш после обвала,0.94711685,not_duplicate
работа общественного транспорта,общественный транспорт,0.9471091,duplicate
концерт Ленинграда,применение УК РФ,0.9470796,not_duplicate
поведение застройщиков (начинают строить),поведение застройщиков,0.9470686,similar_not_duplicate
Рождество Христово (праздник),канун Рождества Христова,0.9470465,not_duplicate
концерт поп-короля,строительство ЖК Вест-Сайд,0.9470335,not_duplicate
качество отечественного кино,отечественное кино,0.9469935,duplicate
беспилотники,источник беспилотников,0.9469571,similar_not_duplicate
концерт Киркорова,ЖК Вест-Сайд,0.9469455,not_duplicate
цена на товары/услуги,цены на товары,0.9469069,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",кинопремьера Одесия,0.94688964,not_duplicate
ЖК Вест-Сайд,действия инспекторов ГИБДД,0.9468568,not_duplicate
деятельность ПВЗ,работа ПВЗ,0.94684243,duplicate
уборка территории,управление уборкой территории,0.9467148,not_duplicate
характеристика глав субъектов РФ,участие водителя в конкурсе Голос Стерли,0.9467069,not_duplicate
концерт Киркорова,электроснабжение ЖК Вест-Сайд,0.94668365,not_duplicate
новое правило правительства о медиаторах при разводе,новое правило о медиаторах при разводе,0.9466248,duplicate
мероприятие Рождество,рождественские мероприятия,0.9464855,not_duplicate
концерт поп-короля,ЖК Вест-Сайд,0.9464567,not_duplicate
закрытие ресторана Бен Холл,действия инспекторов ГИБДД,0.9464482,not_duplicate
использование украинских беспилотников,беспилотники из Украины,0.94638807,duplicate
повышение цен/эксплуатация,частое повышение цен на товары,0.9462352,not_duplicate
смертельное ДТП на дороге,Жёсткое ДТП,0.94620556,duplicate
рекламный призыв,рекламная кампания,0.94618845,not_duplicate
покупка квартиры в ЖК Ривьера,продажа квартир в ЖПЭ,0.9461298,not_duplicate
состояние дорог,дорожная обстановка,0.9461237,duplicate
ЖК Вест-Сайд,падение обломков БПЛ,0.9460609,not_duplicate
концерт Киркорова,концерт поп-короля,0.94595504,duplicate
ДТП в Ростовской области,ДТП на трассе Ростов – Семикаракорск – Волгодонск,0.94594336,not_duplicate
беспилотная атака,информация о беспилотной атаке,0.945899,not_duplicate
восстановление остановки мэрией,действия мэрии по восстановлению остановки,0.94586074,duplicate
выбор песен Деда Мороза,пение Деда Мороза,0.9458299,not_duplicate
пересъемка старых фильмов/сказок,падение обломков БПЛ,0.94580543,not_duplicate
Джефф Миллз,концерт группы «ИНДИИД»,0.9457485,not_duplicate
отключение электричества в ЖК Вест-Сайд,строительство ЖК Вест-Сайд,0.9457414,not_duplicate
беспилотники,полет беспилотников,0.9457377,similar_not_duplicate
концерт Филиппа Киркорова,участие водителя в конкурсе Голос Стерли,0.94559085,not_duplicate
премьеры в кино,спектакли Московского театра,0.94559085,not_duplicate
работа по вывозу мусора,вывоз мусора / подрядчик,0.9455528,not_duplicate
обязательная медиация при разводе,новое правило медиации при разводе,0.94551164,not_duplicate
поведение водителя во время ДТП,поведение водителей после аварии,0.94550514,not_duplicate
использование ремней безопасности в ДТП,использование ремней безопасности,0.94543403,similar_not_duplicate
закрытие парка досрочно,закрытие парка до официального времени,0.9454273,duplicate
ДТП,Место ДТП,0.9454129,not_duplicate
дорожно-транспортное происшествие,ДТП,0.94539046,duplicate
погибшие в ДТП,смертельное ДТП,0.9453714,duplicate
безопасность пассажиров в ДТП,меры безопасности в ДТП,0.9453001,not_duplicate
праздничное настроение,праздничная атмосфера,0.94528127,duplicate
Джефф Миллз,строительство ЖК Вест-Сайд,0.9452765,not_duplicate
действия полиции,реакция полиции,0.9452466,duplicate
действия полиции/властей,поведение полиции,0.94516575,not_duplicate
поведение автора,поведение автора и зацеперов,0.9451119,not_duplicate
свадьбы как показуха,свадьбы как явление,0.945066,not_duplicate
концерт Киркорова,концерт SCORPIONS в Ростове,0.9450484,not_duplicate
рождаемость в Башкирии,рождаемость в Башкортостане,0.94503677,duplicate
рождественские традиции/колядование,рождественские мероприятия,0.945013,not_duplicate
ракетная опасность,объявление о ракетной опасности,0.94499624,similar_not_duplicate
обсуждение красивых дат для свадьбы,выбор красивой даты для свадьбы,0.94495,not_duplicate
ЖК Вест-Сайд,МУП 'СТЭ',0.94484335,not_duplicate
парковка автомобилей в парке,парковка автомобилей во дворах,0.94483006,not_duplicate
пересъемка старых фильмов/сказок,премьеры в кино,0.94480795,not_duplicate
действия США по захвату Гренландии,захват Гренландии США,0.94475305,duplicate
концерт Ленинграда,"сериал «Клуб», Вася",0.9447526,not_duplicate
фильм Хроники Нарнии,первая часть фильма Чебурашка,0.94470835,not_duplicate
обязательная медиация при разводе,процесс развода с медиацией,0.9446453,not_duplicate
ЖК Вест-Сайд,пересъемка старых фильмов/сказок,0.9445876,not_duplicate
повышение тарифов на воду,повышение цен на воду,0.94452643,duplicate
Казахстан на первом кадре,связь событий с Казахстаном,0.94448686,not_duplicate
места для катания,альтернативное место для катания,0.9444427,not_duplicate
концерт Ленинграда,состояние трассы Ростов-Волгодонск,0.944424,not_duplicate
кассовые сборы фильма «Чебурашка 2»,успех фильма Чебурашка 2,0.9444001,not_duplicate
сериал Полиция Дели,участие водителя в конкурсе Голос Стерли,0.9443949,not_duplicate
поведение людей в парке,поведение посетителей парка,0.9443946,duplicate
сиквел Короля и Шута,жанр шансон,0.9443941,not_duplicate
предложение работы,работа / предложение работы,0.94438183,duplicate
распространение мусора,накопление мусора,0.94431233,not_duplicate
"сериал «Клуб», Вася",участие водителя в конкурсе Голос Стерли,0.94427973,not_duplicate
медиация при разводе,новая система медиации при разводе,0.9441978,not_duplicate
повышение пенсионного возраста,увеличение пенсии,0.9441836,not_duplicate
сериал Полиция Дели,"сериал «Клуб», Вася",0.9441796,not_duplicate
Филипп Киркоров - шоу,деятельность Филиппа Киркорова,0.94410926,similar_not_duplicate
автомобиль БЕЛДЖИ,падение обломков БПЛ,0.9440484,not_duplicate
работа администрации города,состояние города и работа администрации,0.94393593,not_duplicate
ситуация ДТП,страшное ДТП,0.9438934,duplicate
кинопремьера Одесия,концерт поп-короля,0.94384974,not_duplicate
концерт поп-короля,сиквел Короля и Шута,0.94381225,not_duplicate
ошибка в слове,опечатка в слове,0.94377404,duplicate
состояние шумозащитных конструкций,шумозащитные конструкции,0.94375956,duplicate
сбитый беспилотник,дрон сбитый,0.9437297,duplicate
увеличение штрафов за тонировку,введение новых штрафов за тонировку,0.9437286,not_duplicate
концерт Киркорова,строительство ЖК Вест-Сайд,0.94361067,not_duplicate
циферка отопления,отопление/котлы,0.94360733,not_duplicate
участие в концерте Киркорова,концерт Филиппа Киркорова,0.94360447,duplicate
эффективность уборки снега,метод уборки снега,0.943579,not_duplicate
работа камер видеонаблюдения,работоспособность камер видеонаблюдения,0.9435572,duplicate
кинопремьера Одесия,фильм Волшебник Изумрудного города,0.943555,not_duplicate
спектакли Московского театра,концерт группы «ИНДИИД»,0.9434637,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",первая часть фильма Чебурашка,0.9433538,not_duplicate
действия инспекторов ГИБДД,пересъемка старых фильмов/сказок,0.9433268,not_duplicate
подготовка горнолыжных курортов,горнолыжный курорт,0.943323,similar_not_duplicate
строительство ЖК Вест-Сайд,управление Нового Краснодара,0.9432921,not_duplicate
общая ситуация,общая обстановка,0.9432421,duplicate
сериал Полиция Дели,характеристика глав субъектов РФ,0.9432281,not_duplicate
чистка дорог в карманах,чистка проездов в карманах,0.9432219,duplicate
деятельность детей с пиротехникой,поведение детей с пиротехникой,0.94316363,duplicate
вывоз мусора,решение проблемы вывоза мусора,0.94310576,not_duplicate
"сериал «Клуб», Вася",характеристика глав субъектов РФ,0.9430441,not_duplicate
автомобиль БЕЛДЖИ,первая часть фильма Чебурашка,0.94303775,not_duplicate
ситуация ДТП,автомобильный инцидент,0.9430158,duplicate
строительство метро в Краснодаре,строительство метро в Новознаменскую,0.94300413,not_duplicate
новое правило о штрафах за тонировку,введение новых штрафов за тонировку,0.9429302,duplicate
электроснабжение ЖК Вест-Сайд,Проблемы ЖК Вест-Сайд,0.9429172,not_duplicate
кинопремьера Одесия,участие водителя в конкурсе Голос Стерли,0.9429104,not_duplicate
управление Нового Краснодара,первая часть фильма Чебурашка,0.94277227,not_duplicate
помощь животным в Судже,помощь животным,0.94275874,not_duplicate
Джефф Миллз,электроснабжение ЖК Вест-Сайд,0.942708,not_duplicate
уборка мусора в районе,уборка мусора,0.9426931,not_duplicate
работа администрации города,управление городом,0.9426297,duplicate
концерт поп-короля,электроснабжение ЖК Вест-Сайд,0.94251597,not_duplicate
уборка снега в Екатеринбурге,чистка Екатеринбурга от снега,0.9425073,duplicate
реанимация после праздников,реанимация людей после праздников,0.9425054,duplicate
повышение цен/НДС,рост цен,0.9424981,not_duplicate
сиквел Короля и Шута,фильм Волшебник Изумрудного города,0.94237536,not_duplicate
городская среда благоприятная для здоровья,городская среда и здоровье,0.94236726,duplicate
предложение услуги помощи,предложение помощи,0.94236165,duplicate
грамотность населения,уровень грамотности в разных сферах,0.94235355,not_duplicate
поведение животного в контактном зоопарке,поведение собаки в контактном зоопарке,0.9423497,duplicate
происшествие на водохранилище,авария водоснабжения,0.9422493,not_duplicate
застройка Краснодара и Нижнего,застройка в Краснодаре,0.94223976,not_duplicate
безопасность региона,безопасность региона/Уфа,0.9422139,not_duplicate
запуск беспилотников,беспилотники,0.9421531,similar_not_duplicate
концерт SCORPIONS в Ростове,характеристика глав субъектов РФ,0.9421103,not_duplicate
концерт Ленинграда,фильм Волшебник Изумрудного города,0.9420627,not_duplicate
концерт Киркорова,"сериал «Клуб», Вася",0.94201124,not_duplicate
первая часть фильма Чебурашка,премьеры в кино,0.94193375,not_duplicate
уголовное дело по ст.213 УК РФ,уголовное дело по ст. 159 УК РФ,0.94191307,not_duplicate
поведение сотрудников УК,поведение сотрудников угро,0.94187266,not_duplicate
падение обломков БПЛ,концерт группы «ИНДИИД»,0.94184875,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",сериал Полиция Дели,0.9416452,not_duplicate
выход фильма Аватар 3,кинопремьера Аватар 3,0.941634,duplicate
возврат товара с браком,возврат товара с браком в ВБ,0.9416148,not_duplicate
состояние дорог,состояние областных дорог,0.9414866,not_duplicate
Испеченный пирог,выпечка пирога на праздник,0.9414284,not_duplicate
перебои с электричеством в Апшеронском районе,отключение электроэнергии в Апшеронском районе,0.9413959,duplicate
кинопремьера Одесия,состояние трассы Ростов-Волгодонск,0.94139266,not_duplicate
пересъемка старых фильмов/сказок,характеристика глав субъектов РФ,0.94134617,not_duplicate
пропускная способность курорта,информация о пропускной способности курортов,0.9412815,not_duplicate
повышение цен на продукты,повышение цен на товары,0.94126856,not_duplicate
беспилотные летательные аппараты (БПЛА) со стороны Украины,беспилотники из Украины,0.9412356,duplicate
сбитие беспилотников,перехват беспилотников,0.94120044,not_duplicate
фирма по вывозу мусора,организация вывоза мусора,0.94116986,duplicate
ДТП на трассе,Жёсткое ДТП,0.9411362,duplicate
повреждение железнодорожной инфраструктуры,повреждение железной дороги,0.9411353,duplicate
выбор песен Деда Мороза,выступление Деда Мороза с песней,0.94106275,not_duplicate
рынок недвижимости в Краснодаре,спрос на недвижимость в Новом Краснодаре,0.94106156,not_duplicate
закрытие ресторана Бен Холл,характеристика глав субъектов РФ,0.94101584,not_duplicate
празднование Рождества Христова,Рождественские богослужения,0.94101554,not_duplicate
мероприятие Филиппа Киркорова,участие в концерте Киркорова,0.94094765,not_duplicate
шумозащитные конструкции некачественные,ненадежность шумозащитных конструкций,0.9409044,duplicate
концерт SCORPIONS в Ростове,первая часть фильма Чебурашка,0.9409014,not_duplicate
продление работы общественного транспорта на Рождество,работа общественного транспорта на Рождество,0.9408803,similar_not_duplicate
атака ВСУ на завод,атака на завод,0.94086415,duplicate
ЖК Вест-Сайд,применение УК РФ,0.940859,not_duplicate
дорожно-транспортная ситуация,дорожная обстановка,0.940806,duplicate
качество шумозащитных конструкций,надежность шумозащитных конструкций,0.94065785,not_duplicate
состояние трассы Ростов-Волгодонск,спектакли Московского театра,0.9406481,not_duplicate
концерт Филиппа Киркорова,пересъемка старых фильмов/сказок,0.94062793,not_duplicate
поведение людей,поведение таких людей,0.94056886,duplicate
фильм Хроники Нарнии,фильм Волшебник Изумрудного города,0.9405565,not_duplicate
строительство метро в Краснодаре,строительство метро на ул.Крупской,0.94055027,not_duplicate
сериал Полиция Дели,падение обломков БПЛ,0.94049305,not_duplicate
жанр шансон,перевод говнотечки,0.9404704,not_duplicate
строительство балкона-особняка,балкон-особняк,0.9403763,similar_not_duplicate
Призыв к пению в комментариях,пение в комментариях,0.9403535,not_duplicate
состояние дома после обвала крыши,жилищная проблема после обрушения крыши,0.94032145,duplicate
концерт поп-короля,падение обломков БПЛ,0.9402417,not_duplicate
концерт Ленинграда,падение обломков БПЛ,0.94022256,not_duplicate
ДТП в Ростовской области,ДТП в Новороссийске,0.9401931,not_duplicate
управление Нового Краснодара,спектакли Московского театра,0.9401566,not_duplicate
смертельное ДТП на дороге,ДТП с погибшими,0.940137,duplicate
военные действия,военная операция,0.9400114,duplicate
строительство ЖК Вест-Сайд,участие водителя в конкурсе Голос Стерли,0.93998325,not_duplicate
состояние областных дорог,состояние дорог и тротуаров,0.93992245,not_duplicate
поведение водителя (Акцента),поведение водителей (ДТП),0.93990934,not_duplicate
организация свадебного банкета,проведение свадебных торжеств,0.93982434,duplicate
кража новогодней ёлки,дворовая новогодняя ёлка,0.939788,similar_not_duplicate
закрытие ресторана Бен Холл,участие водителя в конкурсе Голос Стерли,0.93976486,not_duplicate
ремонт школы,капитальный ремонт школы,0.9397619,duplicate
доставка квитанций ЖКХ,продажа квартир в ЖПЭ,0.9397504,not_duplicate
поведение сотрудников,поведение сотрудников угро,0.939746,not_duplicate
закрытие ресторана Бен Холл,сериал Полиция Дели,0.9396906,not_duplicate
пересъемка старых фильмов/сказок,участие водителя в конкурсе Голос Стерли,0.93963975,not_duplicate
ужесточение семейной ипотеки,условия семейной ипотеки,0.93962926,similar_not_duplicate
эффективность уничтожения дронов,эффективность ПВО против дронов,0.939607,not_duplicate
действия инспекторов ГИБДД,участие водителя в конкурсе Голос Стерли,0.9395224,not_duplicate
сериал Полиция Дели,концерт Ленинграда,0.9395188,not_duplicate
ЖК Вест-Сайд,управление Нового Краснодара,0.9394858,not_duplicate
концерт поп-короля,участие водителя в конкурсе Голос Стерли,0.9394704,not_duplicate
реакция на ракетную атаку,реакция на ракетную опасность,0.93946874,not_duplicate
электроснабжение ЖК Вест-Сайд,участие водителя в конкурсе Голос Стерли,0.93941975,not_duplicate
Испеченный пирог,приготовление пирогов,0.9394128,not_duplicate
Рождественские богослужения,рождественские мероприятия,0.93937963,not_duplicate
сиквел Короля и Шута,строительство ЖК Вест-Сайд,0.93936896,not_duplicate
"титул ""Поп-король"" Филиппа Бедросовича",концерт поп-короля,0.93936485,not_duplicate
информация о стоимости свадьбы,стоимость свадьбы,0.93936324,not_duplicate
организация свадьбы,организация свадебного банкета,0.93934715,not_duplicate
вывоз мусора / подрядчик,работа компании по вывозу мусора,0.9393134,duplicate
дорожно-транспортное происшествие,страшное ДТП,0.93930733,not_duplicate
языковая политика на Кубани,языковой вопрос на Кубани,0.9392986,not_duplicate
ДТП на трассе,смертельное ДТП на дороге,0.9392462,duplicate
действия полиции,действия полиции (проведение проверки),0.9392245,similar_not_duplicate
концерт Киркорова,падение обломков БПЛ,0.9392024,not_duplicate
работа по вывозу мусора,организация вывоза мусора,0.93918216,duplicate
концерт поп-короля,спектакли Московского театра,0.939151,not_duplicate
концерт Ленинграда,премьеры в кино,0.9391227,not_duplicate
способ уборки мусора,Метод утилизации мусора,0.9391114,not_duplicate
повреждение железнодорожного полотна,повреждение железной дороги,0.9390636,duplicate
действия администрации города,управление городом,0.9390113,duplicate
повышение цен на ЖКУ,повышение цен,0.9390089,not_duplicate
Филипп Киркоров,исполнение Филиппа Киркорова,0.9389871,similar_not_duplicate
количество сбитых БПЛА,количество уничтоженных БПЛА,0.93887377,duplicate
МУП 'СТЭ',концерт группы «ИНДИИД»,0.9388713,not_duplicate
Джефф Миллз,действия инспекторов ГИБДД,0.9388429,not_duplicate
кинопремьера Одесия,действия инспекторов ГИБДД,0.93883467,not_duplicate
проверка ресторанов силовиками,проверка силовиков в ресторане,0.9387876,not_duplicate
празднование Рождества Христова,канун Рождества Христова,0.9387766,not_duplicate
вывоз мусора,накопление мусора,0.93874586,not_duplicate
объявление беспилотной и ракетной опасности,объявление беспилотной опасности,0.9387265,not_duplicate
качество установки остановки,качество ремонта остановки,0.9386978,not_duplicate
кинопремьера Одесия,падение обломков БПЛ,0.9386966,not_duplicate
управление Нового Краснодара,падение обломков БПЛ,0.9386681,not_duplicate
состояние льда на катке,состояние льда,0.9386383,not_duplicate
перебои с электричеством в ЖК Вест-Сайд,Проблемы ЖК Вест-Сайд,0.9385718,not_duplicate
управление Нового Краснодара,применение УК РФ,0.93852526,not_duplicate
повышение цен,повышение цен/НДС,0.9384555,not_duplicate
